Name,Age,Gender,Quintuple Steps (A),Transition 1,Mini Slik Slider (S),Transition 2,Tilting Table (B),Transition 3,Spin Cycle (S),Transition 4,Hourglass Drop (S),Transition 5,Warped Wall (A),Total,Result
Kyle Cochran,26,M,4.50,2.03,,,,,,,,,,6.53,Failed
Brendon Ayanbadejo,33,M,3.43,9.73,7.1,9.47,1.34,28.33,,,,,,59.4,Failed
Jackson Meyer,23,M,9.33,10.03,5.77,18.1,1.36,17.84,12.33,11.64,,,,86.4,Failed
Hunter Seide (NS),,M,,,,,,,F,,,,,,Failed
Tiana Webberley (NS),22,F,,,,,F,,,,,,,,Failed
Justin Yan (NS),,M,,,F,,,,,,,,,,Failed
Jeff Clement,31,M,5.36,9.46,6.48,11.06,1.3,16.7,,,,,,50.36,Failed
April Gould,37,F,26.2,7.93,,,,,,,,,,34.13,Failed
LaTaunya Witherspoon (NS),31,F,,,F,,,,,,,,,,Failed
Kevin Clearly,49,M,5.36,10.56,,,,,,,,,,15.92,Failed
Brian Kretsch,31,M,3.66,2.6,9.43,5.23,1.67,51.71,8.36,29.77,,,,112.43,Failed
Shannon Silver,21,F,5.23,9.07,19.23,22.93,1.3,27.44,,,,,,85.2,Failed
Arnold Hernandez,24,M,4.86,1.87,8.63,16.3,1.64,18.9,25.93,12.37,,,,90.5,Failed
Sam Goldstein (NS),25,M,,,,,,,,,F,,,,Failed
Laurence Penera (NS),34,M,,,,,F,,,,,,,,Failed
Dustin Rocho (NS),,M,,,,,F,,,,,,,,Failed
David Campbell,37,M,3.1,1.69,6.94,1.3,1.2,3.07,5.29,3.77,,,,26.36,Failed
Alvaro Campos,34,M,4.66,1.77,6.07,9.9,1.19,7.51,11.53,14.4,24.37,20.83,3.23,106.32,Completed
Rob Moravsky,23,M,4.56,2.67,,,,,,,,,,7.23,Failed
Grant McCartney,27,M,4.63,7.57,8.26,7.61,1.26,18.13,22.0,24.94,44.16,12.3,3.96,155.53,Completed
Jessie Graff,31,F,5.07,2.43,13.8,17.73,1.76,24.54,13.46,20.64,,,,99.43,Failed
Thaddeus Robeck (NS),,M,,,,,F,,,,,,,,Failed
Nick Symmonds (NS),,M,,,F,,,,,,,,,,Failed
John Ryan,33,M,7.26,4.77,9.5,18.29,,,,,,,,39.82,Failed
Tyler Lumpkin (NS),,M,F,,,,,,,,,,,,Failed
Danyelle Wolf (NS),,F,,,F,,,,,,,,,,Failed
Travis Brewer (NS),32,M,,,,,,,,,,,,127.63,Completed
Nicholas Coolridge,26,M,4.26,2.87,11.17,6.77,1.56,5.1,20.34,12.75,16.61,3.97,3.73,89.49,Completed
Selena Laniel (NS),,F,,,F,,,,,,,,,,Failed
Alan Connealy,35,M,3.07,1.85,5.87,3.47,1.04,5.73,19.3,17.23,22.91,4.06,3.76,88.32,Completed
Nick Hanson,27,M,4.53,2.13,4.64,7.83,1.56,34.61,26.59,15.03,,,,96.92,Failed
Kevin Bull,30,M,2.82,1.93,7.59,0.89,1.3,1.03,9.03,3.3,19.21,5.46,3.84,56.4,Completed
Almas Meirmanov (NS),,M,,,,,,,,,,,,156.16,Completed
Sam Goldstein (NS),,M,,,,,,,,,F,,,19.68,Failed
Michael Skiba (NS),,M,,,,,,,,,F,,,29.3,Failed
Jason Tirado (NS),,M,,,,,,,,,F,,,31.77,Failed
Dustin Rocho (NS),,M,,,,,,,,,F,,,34.51,Failed
Johnnie Ho (NS),,M,,,,,,,,,F,,,36.27,Failed
Micheal Burkett-Crist (NS),,M,,,,,,,,,F,,,37.08,Failed
Heath Burian (NS),,M,,,,,,,,,F,,,37.22,Failed
Theo Agu (NS),,M,,,,,,,,,F,,,37.45,Failed
Matthew Dodd (NS),,M,,,,,,,,,F,,,41.06,Failed
Shane Hernandez (NS),,M,,,,,,,,,F,,,46.07,Failed
Travis Weinand (NS),,M,,,,,,,,,F,,,46.48,Failed
Azeo Torre (NS),,M,,,,,,,,,F,,,48.21,Failed
Guy Catz (NS),,M,,,,,,,,,F,,,51.33,Failed
Ben Melick (NS),,M,,,,,,,,,F,,,55.05,Failed
Nir Halfon (NS),,M,,,,,,,,,F,,,60.43,Failed
Rashad Richardson (NS),,M,,,,,,,,,F,,,67.89,Failed
Paul Mangasarian (NS),,M,,,,,,,,,F,,,73.68,Failed
Ryan Robinson (NS),,M,,,,,,,,,F,,,77.72,Failed
Everest Ling (NS),,M,,,,,,,,,F,,,80.28,Failed
