Name,Age,Gender,Quintuple Steps,Transition 1,Mini Slik Slider,Transition 2,Tilting Table,Transition 3,Spin Cycle,Transition 4,Hourglass Drop,Transition 5,Warped Wall,Transition 6,Salmon Ladder,Transition 7,Rumbling Dice,Transition 8,Clear Climb,Transition 9,Invisible Ladder,Total,Result
Rashad Richardson,28,M,2.86,6.44,3.23,4.39,1.07,9.8,47.41,23.83,,,,,,,,,,,,99.03,Failed
Ben Melick,33,M,4.13,6.3,2.6,4.2,1.53,5.27,17.04,13.59,22.84,10.76,3.2,36.53,16.77,0,,,,,,144.76,Failed
Everest Ling (NS),,M,,,F,,,,,,,,,,,,,,,,,,Failed
Heath Burian (NS),,M,,,,,,,F,,,,,,,,,,,,,,Failed
Arnold Hernandez (NS),,M,,,,,,,,,F,,,,,,,,,,,,Failed
Jason Tirado,28,M,5.56,3.94,2.73,1.97,1.49,3,5.71,5.59,,,,,,,,,,,,29.99,Failed
Theo Agu,31,M,2.79,5.03,3.21,4.66,1.74,5.77,5.9,7.43,,,,,,,,,,,,36.53,Failed
Jackson Meyer,23,M,6.56,10.7,2.73,7.21,1.39,2.71,23.23,13.39,,,,,,,,,,,,67.92,Failed
Almas Meirmanov,30,M,7.2,7.9,3.23,5.49,2.41,7.33,8.7,10.87,24.79,15.77,4.84,45.8,,,,,,,,144.33,Failed
Azeo Torre (NS),,M,,,,,,,,,F,,,,,,,,,,,30.34,Failed
Matthew Dodd (NS),,M,,,F,,,,,,,,,,,,,,,,,,Failed
Nir Halfon (NS),,M,,,,,,,,,F,,,,,,,,,,,,Failed
Ryan Robinson,32,M,3.5,8.19,3.34,6.86,1.77,5.6,19.24,15.96,27.04,15.32,18.1,26.34,24.84,0,,,,,,176.1,Failed
Shane Hernandez (NS),27,M,,,F,,,,,,,,,,,,,,,,,,Failed
Travis Weinand (NS),,M,,,,,,,,,F,,,,,,,,,,,,Failed
Dustin Rocho,36,M,5.26,8.27,2.57,3.03,1.2,3.23,7.54,15.36,28.13,6.4,3.57,25.57,11.66,0,,,,,,121.79,Failed
Jessie Graff,31,F,5.03,14.89,3.11,3.07,1.76,14.6,22.87,25.53,32.4,24.63,6.21,21.97,22.16,0,43.17,27.49,,,,268.89,Failed
Michael Skiba (NS),,M,,,,,,,F,,,,,,,,,,,,,,Failed
Johnnie Ho (NS),,M,,,,,,,F,,,,,,,,,,,,,,Failed
Micheal Burkett-Crist (NS),,M,,,,,,,,,F,,,,,,,,,,,27.11,Failed
Alan Connealy,35,M,3.07,5.06,2.63,2.5,1.07,2.4,25.3,22,,,,,,,,,,,,64.03,Failed
Grant McCartney,27,M,5.69,12.51,2.53,2.3,0.89,4.64,10.26,15.07,35.37,15.9,4.24,32.67,24.13,0,42,64.69,,,,272.89,Failed
David Campbell,38,M,3.1,5.69,2.28,1.59,1.07,2.19,4.87,4.74,24.29,4.74,3.3,47.4,12.43,0,38.54,85.36,47,78.57,,367.16,Failed
Sam Goldstein (NS),,M,,,,,,,,,F,,,,,,,,,,,,Failed
Alvaro Campos (NS),,M,,,,,,,,,,,,,,,,,F,,,,Failed
Travis Brewer (NS),,M,,,,,,,F,,,,,,,,,,,,,,Failed
Nicholas Coolridge,26,M,5.03,9,2.7,1.09,0.94,3.44,19.93,20.37,12.93,5.33,4.13,59.1,14.17,0,20.3,28.2,19.44,112.53,28.06,366.69,Completed
Kevin Bull,30,M,2.66,5.33,2.51,1,1.32,1.21,23,8.66,22.1,8.74,3.77,77.06,12.63,0,37.17,45.34,32.17,48.1,,332.77,Failed
