Name,Age,Gender,Piston Road (A),Transition 1,Propeller Bar (A),Transition 2,Silk Slider (A),Transition 3,Jumping Spider (A),Transition 4,Sonic Curve (A),Transition 5,Warped Wall (A),Transition 6,Coin Flip (B),Transition 7,Triple Swing (A),Total,Result
Paul Kasemir,29,M,1.41,6.29,7.64,4.3,13.5,5.86,9.34,9.93,6,7.07,4.3,11.7,1.1,2.67,,91.11,Failed
Nicholas Coolridge,26,M,1.8,6.1,3.41,4.56,10.63,11.37,,,,,,,,,,37.87,Failed
Ahmed Toure (NS),,M,,,F,,,,,,,,,,,,,,Failed
Dillon Gates (NS),22,M,,,,,F,,,,,,,,,,,,Failed
Robin Pietschmann (NS),,M,,,,,,,,,F,,,,,,,,Failed
David Campbell,38,M,1.44,6.06,3.74,3.63,9.54,8.49,8.6,9.1,5.44,10.23,4.2,11.97,,,,82.4,Failed
Gordon White (PS),35,M,,,,,8.13,20.9,16.3,11.13,6.08,15.23,3.87,15.59,1.38,7,,137.08,Failed
Tremayne Dortch,29,M,6.54,9,8.23,9.24,8.49,24.14,12.7,15.17,10.2,4.76,3.97,8.67,1.17,5.39,20.33,148.03,Completed
Marybeth Wang (NS)*,,F,,,F,,,,,,,,,,,,,,Failed
Karsten Williams (NS),,M,,,F,,,,,,,,,,,,,,Failed
Theo Agu (NS),,M,,,,,F,,,,,,,,,,,,Failed
Alexio Gomes (NS),,M,,,,,,,,,F,,,,,,,,Failed
James McGrath,28,M,1.64,6.54,4.19,11.67,7.4,11.9,,,,,,,,,,43.34,Failed
Neil Craver,34,M,1.47,5.61,8.66,3,9,11.19,7.07,12.37,9,12.97,3.7,17.53,1.33,2.67,20.81,127.16,Completed
Azeo Torre (NS),,M,,,F,,,,,,,,,,,,,,Failed
Jo Jo Bynum (NS),37,M,,,,,,,,,,,,,,,,127.17,Completed
Abel Gonzalez (NS),31,M,,,,,,,,,,,,,,,,134.5,Completed
Brian Arnold,37,M,2.8,7.67,5.46,4.11,13.83,13.44,9.46,8.47,5.1,6.87,7.79,16.31,1.39,2.8,21.34,127.15,Completed
Michelle Warnky,31,F,8.67,13.34,5.07,9.92,6.01,10.73,,,,,,,,,,53.74,Failed
Sam Sann,48,M,6.04,15.6,,,,,,,,,,,,,,21.64,Failed
Geoff Britten,36,M,1.77,6.47,3.77,7.0,6.73,12.47,9.39,20.77,5.0,7.47,4.27,12.3,1.33,2.76,23.07,125.34,Completed
P.J. Granger,28,M,2.08,9.1,5.52,4.1,7.8,12.9,,,,,,,,,,41.5,Failed
Flip Rodriguez,,M,1.67,6.9,5.74,7.77,4.46,15.3,8.2,17.43,5.37,6.9,3.5,10.2,1.2,1.96,23.4,121.14,Completed
Aaron Himelright (NS),,M,,,,,,,F,,,,,,,,,,Failed
Mike Bernardo (NS),,M,,,,,,,,,,,,,,,,131.86,Completed
Kevin Klein (NS),,M,,,,,,,,,,,,,,,,145.44,Completed
David Yarter (PS),,M,,,,,7.73,21.93,12.94,17.83,6.2,10.8,4.27,8.9,1.86,5.27,21.67,149.48,Completed
Ben Melick,33,M,1.41,7.23,8.86,5.84,11.46,13.94,12.27,18.56,,,,,,,,79.57,Failed
Ryan Stratis,32,M,4.74,6.8,5.5,20.33,6.63,17.54,9.1,8.0,9.77,6.7,3.49,6.48,1.23,11.73,16.76,135.72,Completed
Daniel Gil,21,M,2.31,7.06,5.0,13.4,5.86,10.47,8.03,7.77,5.06,7.81,3.63,9.27,1.33,3.5,21.17,111.56,Completed
Travis Rosen (NS),,M,,,,,,,,,,,,,,,,124.14,Completed
Brian Wilczewski (NS),,M,,,,,,,,,,,,,,,,133.63,Completed
Justin Gielski (NS),,M,,,,,,,,,,,,,F,,,,Failed
Jessie Graff,31,F,6.5,10.34,4.09,7.87,10.77,16.93,13.43,26.34,5.23,6.81,,,,,,108.31,Failed
Dustin McKinney,29,M,6.74,7,8.53,4.94,6.46,14.33,7.5,21.97,12.67,7.56,3.44,8.33,1.4,3.47,26.97,142.52,Completed
Kevin Bull,30,M,1.74,5.9,4.47,8.46,7.03,8.14,9.3,6.7,5.44,5.42,3.61,7.59,1.24,2.43,21.84,100.26,Completed
Adam Arnold,26,M,1.54,6.57,,,,,,,,,,,,,,8.11,Failed
Preston Griffall,31,M,3.54,7.03,8.97,6.46,7.87,9.27,14.4,8.23,5.87,9.96,24.14,6.1,2.0,5.7,,119.54,Failed
Asya Grechka (NS),,F,,,F,,,,,,,,,,,,,,Failed
Adam Mihm (NS),,M,,,,,,,F,,,,,,,,,,Failed
Steve Martin (NS),,M,F,,,,,,,,,,,,,,,,Failed
Johnathan Parr,30,M,3.21,12.16,8.63,8.67,5.17,16.53,14.97,13.53,,,,,,,,82.87,Failed
Grant McCartney,27,M,1.47,6.87,4.56,5.8,18,12.31,16.49,16.91,5.26,11.2,4.14,12.33,1.33,2.47,20.7,140.41,Completed
Rose Wetzel,33,F,11.67,7.7,,,,,,,,,,,,,,19.37,Failed
Jamie Rahn,27,M,1.57,8.57,7.9,11.96,5.8,14.94,11.37,10.59,13.61,6.69,3.27,9.81,1.16,6.77,22.46,137.22,Completed
Van Tran (NS),,M,,,F,,,,,,,,,,,,,,Failed
Eddy Stewart (NS),,M,,,,,,,,,,,F,,,,,,Failed
Brandon Mears (NS),,M,,,,,,,,,,,,,,,,139.52,Completed
Brendan Crouvreux,33,M,1.74,8.5,,,,,,,,,,,,,,10.24,Failed
Pavel Fesyuk,31,M,1.7,8.48,7.93,7.23,8.46,15.64,17.36,13.44,5.3,9.36,12.21,9.59,1.8,7.27,22.64,149.01,Completed
Geoff Lancaster (NS),,M,,,,,,,,,F,,,,,,,,Failed
Benjamin Barrett (NS),,M,,,,,,,,,,,,,,,F,,Failed
Sean Clayton (NS),,M,,,,,,,,,,,,,,,,128.36,Completed
Josh Cook,28,M,1.64,8.6,8.77,5.17,,,,,,,,,,,,24.18,Failed
Anthony Scott,,M,1.41,9.03,21.03,2.97,9.3,12.8,12.7,11.1,4.87,6.87,3.82,11.28,1.09,6.94,22.29,139.1,Completed
Lance Pekus,28,M,1.67,7,5,8.47,7.3,8.93,15.5,9.8,10.33,5.41,3.83,9.53,1.47,4.4,26.2,126.34,Completed
Isaac Caldiero,33,M,1.47,8.3,5.34,5.53,12.06,13.07,10.23,10.14,5.63,10.34,4.33,12.16,1.4,2.54,24.64,129.26,Completed
Kacy Catanzaro,25,F,5.54,10.73,,,,,,,,,,,,,,16.27,Failed
Caleb Hayre (NS),30,M,,,,,F,,,,,,,,,,,,Failed
Rich Shoemaker (NS),38,M,,,,,,,F,,,,,,,,,,Failed
Ian Dory (NS),,M,,,,,,,,,,,,,,,,144.13,Completed
Jeremy Prather,35,M,3.84,7.63,,,,,,,,,,,,,,11.47,Failed
JJ Woods,28,M,1.34,7.8,5.6,12.37,4.73,12.57,7.16,12.17,6.44,7.36,3.33,9.13,0.87,2.83,23.38,117.36,Completed
Joe Moravsky,26,M,2.93,6.61,4.77,2.73,9.96,9.9,7.57,12.74,5.92,6.64,2.97,13.73,1.17,2.83,23.43,114.69,Completed
Elet Hall,25,M,1.54,4.9,3.56,2.67,8.87,8.77,,,,,,,,,,30.31,Failed
Dustin Rocho (NS),,M,,,,,,,,,,,,,,,,142.52,Completed
Drew Drechsel (NS),,M,,,,,,,,,,,,,,,,109.42,Completed
Jake Murray,28,M,1.5,4.4,5.21,6.26,5.0,10.27,8.73,6.87,5.46,6.48,3.32,8.81,1.33,2.1,23.16,99.78,Completed
Meagan Martin,25,F,9.41,26.59,8.01,7.66,16.77,11.7,11.79,8.57,5.94,6.97,,,,,,113.41,Failed
Brandon Berrett (NS),,M,,,,,,,F,,,,,,,,,,Failed
Karson Volies (NS),,M,,,,,,,,,,,,,,,,131.53,Completed
Jeremiah Morgan (NS),,M,,,,,,,,,,,,,,,,116.24,Completed
Brent Steffensen,35,M,1.64,5.47,4.3,3.63,11.97,7.73,7.93,6.6,9.4,6.1,3.8,8.0,1.07,2.5,18.1,98.92,Completed
Mike Meyers (NS),,M,,,,,,,,,,,,,,,,120.29,Completed
Dan Yager (NS),,M,,,,,,,,,,,,,,,,122.50,Completed
Jason Williams (NS),,M,,,,,,,,,,,,,,,,129.78,Completed
Thomas Stillings (NS),,M,,,,,,,,,,,,,,,,133.02,Completed
Nathan Tucker (NS),,M,,,,,,,,,,,,,,,,145.34,Completed
